date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:29:53	1123/1123	---MCZ	200	added ('OK')	text/html	date:Wed,%2016%20Jul%202025%2012:21:37%20GMT	https://app.voidgame.io/robots.txt		(from )
02:29:53	2665/2665	---MCZ	200	added ('OK')	text/html	date:Wed,%2016%20Jul%202025%2012:21:37%20GMT	https://app.voidgame.io/	/storage/emulated/0/HTTrack/Websites/teste/app.voidgame.io/index.html	(from )
02:29:54	2944/2944	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2020%20Jul%202025%2005:29:53%20GMT	https://plausible.io/js/script.js	/storage/emulated/0/HTTrack/Websites/teste/plausible.io/js/script.js	(from https://app.voidgame.io/)
02:29:54	1137/1137	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2268779947-471%22	https://app.voidgame.io/assets/favicon-CI8FsvaE.svg	/storage/emulated/0/HTTrack/Websites/teste/app.voidgame.io/assets/favicon-CI8FsvaE.svg	(from https://app.voidgame.io/)
02:29:57	110864/110864	---MCZ	200	added ('OK')	application/javascript	etag:W/%2268779951-1b110%22	https://app.voidgame.io/scripts/telegram-web-app.js	/storage/emulated/0/HTTrack/Websites/teste/app.voidgame.io/scripts/telegram-web-app.js	(from https://app.voidgame.io/)
02:30:00	19/19	---MCZ	404	error ('Not%20Found')	text/plain	date:Sun,%2020%20Jul%202025%2005:29:59%20GMT	https://api-dev.voidgame.io/	/storage/emulated/0/HTTrack/Websites/teste/api-dev.voidgame.io/index.html	(from https://app.voidgame.io/)
02:30:00	243074/243074	---MCZ	200	added ('OK')	application/javascript	etag:W/%2268779945-3b582%22	https://app.voidgame.io/assets/sentry-DNlAlcfZ.js	/storage/emulated/0/HTTrack/Websites/teste/app.voidgame.io/assets/sentry-DNlAlcfZ.js	(from https://app.voidgame.io/)
02:30:02	84/84	---M--	403	error ('Forbidden')	application/xml	etag:%22C049ACD3FC36E0F659703507AE9EDBF1%22	https://static.okx.com/	/storage/emulated/0/HTTrack/Websites/teste/static.okx.com/index.html	(from https://app.voidgame.io/)
02:30:03	73157/73157	---MCZ	200	added ('OK')	application/javascript	etag:W/%2268779951-11dc5%22	https://app.voidgame.io/assets/i18n-3hlYv9oN.js	/storage/emulated/0/HTTrack/Websites/teste/app.voidgame.io/assets/i18n-3hlYv9oN.js	(from https://app.voidgame.io/)
02:30:03	243053/243053	---MCZ	200	added ('OK')	application/javascript	etag:W/%226877994c-3b56d%22	https://app.voidgame.io/assets/vendor-CBepUhJX.js	/storage/emulated/0/HTTrack/Websites/teste/app.voidgame.io/assets/vendor-CBepUhJX.js	(from https://app.voidgame.io/)
02:30:03	1115825/1115825	---MCZ	200	added ('OK')	application/javascript	etag:W/%226877994a-1106b1%22	https://app.voidgame.io/assets/index-BBKayO2b.js	/storage/emulated/0/HTTrack/Websites/teste/app.voidgame.io/assets/index-BBKayO2b.js	(from https://app.voidgame.io/)
02:30:03	1093/1093	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Apr%202023%2015:34:09%20GMT	https://xtonwallet.com/	/storage/emulated/0/HTTrack/Websites/teste/xtonwallet.com/index.html	(from https://app.voidgame.io/)
02:30:03	157125/157125	---MCZ	200	added ('OK')	application/javascript	etag:W/%226877994f-265c5%22	https://app.voidgame.io/assets/spine-CJMsDXMe.js	/storage/emulated/0/HTTrack/Websites/teste/app.voidgame.io/assets/spine-CJMsDXMe.js	(from https://app.voidgame.io/)
02:30:04	633941/633941	---MCZ	200	added ('OK')	application/javascript	etag:W/%2268779945-9ac55%22	https://app.voidgame.io/assets/pixi-x3ZCqoVr.js	/storage/emulated/0/HTTrack/Websites/teste/app.voidgame.io/assets/pixi-x3ZCqoVr.js	(from https://app.voidgame.io/)
02:30:06	306090/306090	---MCZ	200	added ('OK')	application/javascript	etag:W/%226877994c-4abaa%22	https://app.voidgame.io/assets/tonc-B2P8c2bO.js	/storage/emulated/0/HTTrack/Websites/teste/app.voidgame.io/assets/tonc-B2P8c2bO.js	(from https://app.voidgame.io/)
02:30:07	10254/10254	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Jul%202025%2005:30:06%20GMT	https://wallet.tg/	/storage/emulated/0/HTTrack/Websites/teste/wallet.tg/index.html	(from https://app.voidgame.io/)
02:30:07	96896/96896	---MCZ	200	added ('OK')	application/javascript	etag:W/%226877994f-17a80%22	https://app.voidgame.io/assets/swiper-Cl7yBqiY.js	/storage/emulated/0/HTTrack/Websites/teste/app.voidgame.io/assets/swiper-Cl7yBqiY.js	(from https://app.voidgame.io/)
02:30:08	514035/514035	---MCZ	200	added ('OK')	application/javascript	etag:W/%226877994b-7d7f3%22	https://app.voidgame.io/assets/lottie1-CeEqhBbz.js	/storage/emulated/0/HTTrack/Websites/teste/app.voidgame.io/assets/lottie1-CeEqhBbz.js	(from https://app.voidgame.io/)
02:30:10	472862/472862	---MCZ	200	added ('OK')	application/javascript	etag:W/%2268779948-7371e%22	https://app.voidgame.io/assets/lottie2-OaIxUBNU.js	/storage/emulated/0/HTTrack/Websites/teste/app.voidgame.io/assets/lottie2-OaIxUBNU.js	(from https://app.voidgame.io/)
02:30:10	96659/96659	---MCZ	200	added ('OK')	application/javascript	etag:W/%2268779949-17993%22	https://app.voidgame.io/assets/zip-DSK5o2d1.js	/storage/emulated/0/HTTrack/Websites/teste/app.voidgame.io/assets/zip-DSK5o2d1.js	(from https://app.voidgame.io/)
